,variables,importance
1,Channel 3 - Channel 12 b Waves,0.13666294016135483
2,Channel 3 - Channel 12 a Waves ,0.11171954654778549
3,Change in R-R Interval ,0.09902253025693221
4,Pupil Average Diameter,0.07523235684375264
5,Channel 4 - Channel 11 b Waves,0.047370826063437836
6,Channel 4 - Channel 11 a Waves ,0.03918603451425183
7,Channel 1 - Channel 14 a Waves ,0.029444836560983022
8,Channel 1 - Channel 14 b Waves,0.028378204659130598
9,Channel 7 - Channel 8 b Waves,0.027499355340395666
10,Channel 6 - Channel 9 a Waves ,0.022584735382574758
11,Channel 2 - Channel 13 a Waves ,0.022142870687956586
12,Channel 6 - Channel 9 b Waves,0.01957821059898688
13,Channel 7 b/a,0.017905976737111494
14,Channel 2 - Channel 13 b Waves,0.017094582532117198
15,Channel 5 - Channel 10 b Waves,0.016621683736549542
16,Channel 5 - Channel 10 a Waves ,0.016000254871979293
17,Channel 11 b/a ,0.015179083267868041
18,Channel 9 b/a,0.015143858738461278
19,Channel 7 - Channel 8 b/a ,0.014738186811405866
20,Channel 7 - Channel 8 a Waves ,0.013641938501685795
21,Channel 5 b/a,0.01272893102968487
22,Channel 6 - Channel 9 b/a ,0.01265159502761198
23,Channel 10 b/a ,0.012397548077856013
24,Channel 8 b/a,0.012348600519426286
25,Channel 4 - Channel 11 b/a ,0.012113079502032772
26,Right Eye Euclidean Distance,0.012093341877743477
27,Channel 4 b/a ,0.011738673548393218
28,Channel 5 - Channel 10 b/a ,0.011425805170133167
29,Channel 6 b/a,0.011358017140155567
30,Channel 13 b/a ,0.011315206263061416
31,Channel 12 b/a,0.010999807723527266
32,Channel 14 b/a ,0.010884141241689724
33,Channel 3 - Channel 12 b/a,0.010883507578117133
34,Channel 3 b/a ,0.010810617636271018
35,Channel 1 - Channel 14 b/a,0.010736511583978862
36,Channel 1 b/a ,0.010650839011035316
37,Channel 2 b/a ,0.010031121591983399
38,Channel 2 - Channel 13 b/a,0.009867706330692934
39,Left Eye Euclidean Distance,0.009816936331884426
