,variables,importance
1,Channel 3 - Channel 12 b Waves,0.14180467671439043
2,Channel 3 - Channel 12 a Waves ,0.12687264536703852
3,Pupil Average Diameter,0.06624333355405136
4,Change in R-R Interval ,0.06130674560814289
5,Channel 4 - Channel 11 b Waves,0.050706813295199715
6,Channel 4 - Channel 11 a Waves ,0.047552354535128835
7,Channel 2 - Channel 13 a Waves ,0.02706537228582761
8,Channel 1 - Channel 14 a Waves ,0.026872764449229543
9,Channel 6 - Channel 9 a Waves ,0.02323394689413062
10,Channel 1 - Channel 14 b Waves,0.02195249558085419
11,Channel 2 - Channel 13 b Waves,0.021793015431879677
12,Channel 6 - Channel 9 b Waves,0.01969394929147844
13,Channel 7 - Channel 8 b Waves,0.01925704189083887
14,Channel 9 b/a,0.01886495136563625
15,Channel 5 - Channel 10 b Waves,0.017156020233214386
16,Channel 5 - Channel 10 a Waves ,0.016471047583845978
17,Channel 7 b/a,0.016096755041609866
18,Channel 11 b/a ,0.014223718112003621
19,Channel 5 b/a,0.013749008574052516
20,Channel 7 - Channel 8 b/a ,0.01360150303441128
21,Channel 7 - Channel 8 a Waves ,0.013587689939562476
22,Channel 6 - Channel 9 b/a ,0.013580517004865334
23,Channel 4 - Channel 11 b/a ,0.013544467335342487
24,Channel 4 b/a ,0.013531926278360812
25,Channel 8 b/a,0.013251778256164724
26,Channel 1 b/a ,0.013236494682045217
27,Channel 10 b/a ,0.01315206865743006
28,Channel 3 b/a ,0.012436667452931333
29,Channel 1 - Channel 14 b/a,0.01234333693308769
30,Channel 13 b/a ,0.012341334741923234
31,Left Eye Euclidean Distance,0.012282812317707843
32,Channel 2 b/a ,0.012026146372900403
33,Channel 6 b/a,0.011983020779637475
34,Channel 14 b/a ,0.011963715511741479
35,Channel 12 b/a,0.011663295385704422
36,Channel 5 - Channel 10 b/a ,0.011512361036980381
37,Channel 3 - Channel 12 b/a,0.011293461099514984
38,Channel 2 - Channel 13 b/a,0.011194694372890246
39,Right Eye Euclidean Distance,0.010556052998244603
